Serial Number:20541928 --

Date Time - GMT +09:00,"Temp, (*C)","Intensity, (lux)",Button Down,Button Up,Host Connect,EOF,
2020-08-28 17:00:00,26.42,2360, , , , ,
2020-08-28 17:10:00,26.34,2008, , , , ,
2020-08-28 17:20:00,26.38,1791, , , , ,
2020-08-28 17:30:00,26.38,1462, , , , ,
2020-08-28 17:40:00,26.34,1210, , , , ,
2020-08-28 17:50:00,26.30,1046, , , , ,
2020-08-28 18:00:00,26.30,854, , , , ,
2020-08-28 18:10:00,26.30,652, , , , ,
2020-08-28 18:20:00,26.30,481, , , , ,
2020-08-28 18:30:00,26.34,306, , , , ,
2020-08-28 18:40:00,26.38,172, , , , ,
2020-08-28 18:50:00,26.34,83, , , , ,
2020-08-28 19:00:00,26.25,22, , , , ,
2020-08-28 19:10:00,26.30,3, , , , ,
2020-08-28 19:20:00,26.30,0, , , , ,
2020-08-28 19:30:00,26.25,0, , , , ,
2020-08-28 19:40:00,26.30,0, , , , ,
2020-08-28 19:50:00,26.30,0, , , , ,
2020-08-28 20:00:00,26.30,0, , , , ,
2020-08-28 20:10:00,26.30,0, , , , ,
2020-08-28 20:20:00,26.30,0, , , , ,
2020-08-28 20:30:00,26.30,0, , , , ,
2020-08-28 20:40:00,26.30,0, , , , ,
2020-08-28 20:50:00,26.30,0, , , , ,
2020-08-28 21:00:00,26.25,0, , , , ,
2020-08-28 21:10:00,26.34,0, , , , ,
2020-08-28 21:20:00,26.30,0, , , , ,
2020-08-28 21:30:00,26.30,0, , , , ,
2020-08-28 21:40:00,26.34,0, , , , ,
2020-08-28 21:50:00,26.34,0, , , , ,
2020-08-28 22:00:00,26.34,0, , , , ,
2020-08-28 22:10:00,26.30,0, , , , ,
2020-08-28 22:20:00,26.34,0, , , , ,
2020-08-28 22:30:00,26.30,0, , , , ,
2020-08-28 22:40:00,26.38,0, , , , ,
2020-08-28 22:50:00,26.25,0, , , , ,
2020-08-28 23:00:00,26.30,0, , , , ,
2020-08-28 23:10:00,26.34,0, , , , ,
2020-08-28 23:20:00,26.34,0, , , , ,
2020-08-28 23:30:00,26.38,0, , , , ,
2020-08-28 23:40:00,26.34,0, , , , ,
2020-08-28 23:50:00,26.34,0, , , , ,
2020-08-29 00:00:00,26.34,0, , , , ,
2020-08-29 00:10:00,26.30,0, , , , ,
2020-08-29 00:20:00,26.30,0, , , , ,
2020-08-29 00:30:00,26.34,0, , , , ,
2020-08-29 00:40:00,26.34,0, , , , ,
2020-08-29 00:50:00,26.34,0, , , , ,
2020-08-29 01:00:00,26.34,0, , , , ,
2020-08-29 01:10:00,26.34,0, , , , ,
2020-08-29 01:20:00,26.34,0, , , , ,
2020-08-29 01:30:00,26.34,0, , , , ,
2020-08-29 01:40:00,26.30,0, , , , ,
2020-08-29 01:50:00,26.38,0, , , , ,
2020-08-29 02:00:00,26.38,0, , , , ,
2020-08-29 02:10:00,26.34,0, , , , ,
2020-08-29 02:20:00,26.34,0, , , , ,
2020-08-29 02:30:00,26.34,0, , , , ,
2020-08-29 02:40:00,26.34,0, , , , ,
2020-08-29 02:50:00,26.30,0, , , , ,
2020-08-29 03:00:00,26.30,0, , , , ,
2020-08-29 03:10:00,26.30,0, , , , ,
2020-08-29 03:20:00,26.34,0, , , , ,
2020-08-29 03:30:00,26.30,0, , , , ,
2020-08-29 03:40:00,26.38,0, , , , ,
2020-08-29 03:50:00,26.34,0, , , , ,
2020-08-29 04:00:00,26.34,0, , , , ,
2020-08-29 04:10:00,26.34,0, , , , ,
2020-08-29 04:20:00,26.34,0, , , , ,
2020-08-29 04:30:00,26.34,0, , , , ,
2020-08-29 04:40:00,26.34,0, , , , ,
2020-08-29 04:50:00,26.38,0, , , , ,
2020-08-29 05:00:00,26.34,0, , , , ,
2020-08-29 05:10:00,26.34,0, , , , ,
2020-08-29 05:20:00,26.34,0, , , , ,
2020-08-29 05:30:00,26.34,0, , , , ,
2020-08-29 05:40:00,26.30,6, , , , ,
2020-08-29 05:50:00,26.42,42, , , , ,
2020-08-29 06:00:00,26.38,155, , , , ,
2020-08-29 06:10:00,26.42,331, , , , ,
2020-08-29 06:20:00,26.38,612, , , , ,
2020-08-29 06:30:00,26.47,861, , , , ,
2020-08-29 06:40:00,26.42,1192, , , , ,
2020-08-29 06:50:00,26.42,2328, , , , ,
2020-08-29 07:00:00,26.47,1924, , , , ,
2020-08-29 07:10:00,26.51,3287, , , , ,
2020-08-29 07:20:00,26.51,3292, , , , ,
2020-08-29 07:30:00,26.51,3823, , , , ,
2020-08-29 07:40:00,26.60,4531, , , , ,
2020-08-29 07:50:00,26.64,5642, , , , ,
2020-08-29 08:00:00,26.72,5816, , , , ,
2020-08-29 08:10:00,26.77,6976, , , , ,
2020-08-29 08:20:00,26.77,7345, , , , ,
2020-08-29 08:30:00,26.90,9193, , , , ,
2020-08-29 08:40:00,26.94,8998, , , , ,
2020-08-29 08:50:00,26.94,9106, , , , ,
2020-08-29 09:00:00,27.07,10268, , , , ,
2020-08-29 09:10:00,27.20,13056, , , , ,
2020-08-29 09:20:00,27.28,14945, , , , ,
2020-08-29 09:30:00,27.32,14643, , , , ,
2020-08-29 09:40:00,27.28,12211, , , , ,
2020-08-29 09:50:00,27.41,24627, , , , ,
2020-08-29 10:00:00,27.41,23511, , , , ,
2020-08-29 10:10:00,27.50,25364, , , , ,
2020-08-29 10:20:00,27.37,30259, , , , ,
2020-08-29 10:30:00,27.41,24771, , , , ,
2020-08-29 10:40:00,27.54,27935, , , , ,
2020-08-29 10:50:00,27.54,24300, , , , ,
2020-08-29 11:00:00,27.71,26399, , , , ,
2020-08-29 11:10:00,27.88,30740, , , , ,
2020-08-29 11:20:00,27.75,28867, , , , ,
2020-08-29 11:30:00,27.84,29174, , , , ,
2020-08-29 11:40:00,28.01,29491, , , , ,
2020-08-29 11:50:00,27.97,28989, , , , ,
2020-08-29 12:00:00,28.01,30853, , , , ,
2020-08-29 12:10:00,28.01,28795, , , , ,
2020-08-29 12:20:00,28.05,30996, , , , ,
2020-08-29 12:30:00,28.14,28396, , , , ,
2020-08-29 12:40:00,28.18,27576, , , , ,
2020-08-29 12:50:00,28.10,24494, , , , ,
2020-08-29 13:00:00,28.05,24914, , , , ,
2020-08-29 13:10:00,28.14,25272, , , , ,
2020-08-29 13:20:00,28.05,23726, , , , ,
2020-08-29 13:30:00,28.18,27238, , , , ,
2020-08-29 13:40:00,28.18,25600, , , , ,
2020-08-29 13:50:00,28.10,23378, , , , ,
2020-08-29 14:00:00,28.10,20014, , , , ,
2020-08-29 14:10:00,28.05,23951, , , , ,
2020-08-29 14:20:00,27.97,21760, , , , ,
2020-08-29 14:30:00,27.93,19062, , , , ,
2020-08-29 14:40:00,27.80,16353, , , , ,
2020-08-29 14:50:00,27.84,15693, , , , ,
2020-08-29 15:00:00,27.75,14838, , , , ,
2020-08-29 15:10:00,27.75,13220, , , , ,
2020-08-29 15:20:00,27.67,12268, , , , ,
2020-08-29 15:30:00,27.63,11617, , , , ,
2020-08-29 15:40:00,27.63,10017, , , , ,
2020-08-29 15:50:00,27.58,9290, , , , ,
2020-08-29 16:00:00,27.54,8402, , , , ,
2020-08-29 16:10:00,27.54,7391, , , , ,
2020-08-29 16:20:00,27.50,6241, , , , ,
2020-08-29 16:30:00,27.45,5724, , , , ,
2020-08-29 16:40:00,27.50,5155, , , , ,
2020-08-29 16:50:00,27.45,4617, , , , ,
